-1 (7500)
0 (154)
104 (172)
105 (437)
107 (482)
11 (182)
111 (175)
112 (164)
113 (157)
13 (174)
14 (804)
15 (419)
16 (191)
19 (184)
20 (340)
21 (371)
22 (292)
23 (627)
24 (465)
28 (345)
29 (571)
3 (259)
31 (169)
34 (738)
35 (427)
36 (457)
37 (474)
38 (198)
39 (302)
40 (678)
41 (439)
42 (467)
44 (325)
45 (256)
46 (201)
47 (388)
48 (508)
49 (381)
50 (480)
51 (288)
52 (291)
53 (453)
54 (339)
55 (168)
56 (272)
57 (300)
58 (397)
59 (222)
62 (174)
65 (223)
66 (181)
67 (242)
68 (486)
69 (636)
70 (720)
71 (665)
72 (171)
73 (171)
74 (205)
75 (174)
76 (164)
77 (232)
78 (357)
79 (238)
80 (227)
81 (194)
85 (153)
87 (219)
94 (250)
95 (594)
96 (411)
97 (518)
98 (456)
-1 0 (153)
-1 104 (172)
-1 105 (436)
-1 107 (482)
-1 11 (182)
-1 111 (175)
-1 112 (164)
-1 113 (157)
-1 13 (174)
-1 14 (804)
-1 15 (419)
-1 16 (191)
-1 19 (184)
-1 20 (340)
-1 21 (370)
-1 22 (291)
-1 23 (626)
-1 24 (465)
-1 28 (345)
-1 29 (571)
-1 3 (258)
-1 31 (169)
-1 34 (737)
-1 35 (427)
-1 36 (457)
-1 37 (474)
-1 38 (197)
-1 39 (302)
-1 40 (678)
-1 41 (439)
-1 42 (467)
-1 44 (325)
-1 45 (256)
-1 46 (201)
-1 47 (388)
-1 48 (507)
-1 49 (381)
-1 50 (480)
-1 51 (288)
-1 52 (291)
-1 53 (453)
-1 54 (339)
-1 55 (168)
-1 56 (272)
-1 57 (300)
-1 58 (397)
-1 59 (222)
-1 62 (174)
-1 65 (223)
-1 66 (181)
-1 67 (242)
-1 68 (486)
-1 69 (636)
-1 70 (720)
-1 71 (665)
-1 72 (170)
-1 73 (171)
-1 74 (205)
-1 75 (174)
-1 76 (164)
-1 77 (232)
-1 78 (357)
-1 79 (238)
-1 80 (227)
-1 81 (194)
-1 85 (153)
-1 87 (219)
-1 94 (249)
-1 95 (593)
-1 96 (411)
-1 97 (518)
-1 98 (456)
69 97 (154)
-1 69 97 (154)
